DATE,PMSAVE
1970-04-01,100.3
1970-05-01,93.2
1970-06-01,92.7
1970-07-01,104.0
1970-08-01,103.9
1970-09-01,100.3
1970-10-01,102.3
1970-11-01,105.8
1970-12-01,103.7
1971-01-01,106.8
1971-02-01,106.8
1971-03-01,109.4
1971-04-01,107.3
1971-05-01,111.5
1971-06-01,123.8
1971-07-01,115.0
1971-08-01,114.1
1971-09-01,112.1
1971-10-01,113.1
1971-11-01,111.5
1971-12-01,111.6
1972-01-01,107.6
1972-02-01,111.4
1972-03-01,103.1
1972-04-01,100.5
1972-05-01,103.2
1972-06-01,103.6
1972-07-01,104.8
1972-08-01,109.3
1972-09-01,112.0
1972-10-01,122.0
1972-11-01,129.7
1972-12-01,131.2
1973-01-01,118.8
1973-02-01,121.5
1973-03-01,124.8
1973-04-01,130.3
1973-05-01,130.9
1973-06-01,136.8
1973-07-01,132.9
1973-08-01,141.9
1973-09-01,135.1
1973-10-01,149.7
1973-11-01,151.1
1973-12-01,156.0
1974-01-01,151.7
1974-02-01,150.8
1974-03-01,143.6
1974-04-01,140.8
1974-05-01,138.5
1974-06-01,139.6
1974-07-01,141.7
1974-08-01,134.6
1974-09-01,144.5
1974-10-01,152.1
1974-11-01,157.2
1974-12-01,160.3
1975-01-01,152.3
1975-02-01,145.1
1975-03-01,148.6
1975-04-01,169.6
1975-05-01,219.3
1975-06-01,176.4
1975-07-01,154.4
1975-08-01,160.5
1975-09-01,161.7
1975-10-01,168.0
1975-11-01,160.2
1975-12-01,152.2
1976-01-01,150.6
1976-02-01,159.8
1976-03-01,158.5
1976-04-01,152.5
1976-05-01,161.4
1976-06-01,150.5
1976-07-01,155.5
1976-08-01,157.0
1976-09-01,153.8
1976-10-01,150.4
1976-11-01,156.3
1976-12-01,146.4
1977-01-01,147.6
1977-02-01,129.4
1977-03-01,148.6
1977-04-01,149.7
1977-05-01,147.1
1977-06-01,154.3
1977-07-01,154.1
1977-08-01,161.4
1977-09-01,165.8
1977-10-01,166.4
1977-11-01,171.3
1977-12-01,175.7
1978-01-01,184.0
1978-02-01,174.3
1978-03-01,174.6
1978-04-01,172.7
1978-05-01,167.0
1978-06-01,163.3
1978-07-01,178.8
1978-08-01,173.5
1978-09-01,177.1
1978-10-01,180.4
1978-11-01,177.4
1978-12-01,177.7
1979-01-01,193.0
1979-02-01,193.7
1979-03-01,198.4
1979-04-01,194.7
1979-05-01,184.0
1979-06-01,176.7
1979-07-01,192.4
1979-08-01,179.0
1979-09-01,174.8
1979-10-01,180.7
1979-11-01,182.3
1979-12-01,191.6
1980-01-01,190.9
1980-02-01,196.2
1980-03-01,200.3
1980-04-01,222.1
1980-05-01,225.3
1980-06-01,223.5
1980-07-01,229.0
1980-08-01,231.3
1980-09-01,241.9
1980-10-01,236.8
1980-11-01,246.8
1980-12-01,245.0
1981-01-01,235.7
1981-02-01,236.0
1981-03-01,238.0
1981-04-01,239.0
1981-05-01,242.9
1981-06-01,242.3
1981-07-01,282.2
1981-08-01,277.8
1981-09-01,288.0
1981-10-01,302.1
1981-11-01,308.3
1981-12-01,293.3
1982-01-01,300.3
1982-02-01,288.7
1982-03-01,290.6
1982-04-01,311.7
1982-05-01,296.8
1982-06-01,296.5
1982-07-01,307.8
1982-08-01,310.4
1982-09-01,290.8
1982-10-01,279.7
1982-11-01,272.3
1982-12-01,274.5
1983-01-01,281.4
1983-02-01,282.5
1983-03-01,271.2
1983-04-01,263.6
1983-05-01,255.7
1983-06-01,236.5
1983-07-01,254.3
1983-08-01,243.9
1983-09-01,257.3
1983-10-01,262.4
1983-11-01,280.5
1983-12-01,279.1
1984-01-01,278.1
1984-02-01,329.0
1984-03-01,328.3
1984-04-01,331.7
1984-05-01,321.9
1984-06-01,324.2
1984-07-01,338.1
1984-08-01,348.6
1984-09-01,351.5
1984-10-01,349.5
1984-11-01,325.1
1984-12-01,338.2
1985-01-01,312.2
1985-02-01,273.6
1985-03-01,262.2
1985-04-01,304.7
1985-05-01,349.5
1985-06-01,297.7
1985-07-01,284.5
1985-08-01,254.8
1985-09-01,229.9
1985-10-01,288.6
1985-11-01,286.4
1985-12-01,275.1
1986-01-01,278.5
1986-02-01,301.5
1986-03-01,323.5
1986-04-01,317.1
1986-05-01,303.8
1986-06-01,309.1
1986-07-01,307.2
1986-08-01,298.7
1986-09-01,239.2
1986-10-01,280.5
1986-11-01,293.1
1986-12-01,235.0
1987-01-01,326.4
1987-02-01,290.3
1987-03-01,292.3
1987-04-01,149.8
1987-05-01,282.9
1987-06-01,266.9
1987-07-01,261.0
1987-08-01,253.0
1987-09-01,268.8
1987-10-01,294.5
1987-11-01,305.1
1987-12-01,313.6
1988-01-01,294.6
1988-02-01,313.2
1988-03-01,301.1
1988-04-01,328.4
1988-05-01,313.1
1988-06-01,317.3
1988-07-01,326.6
1988-08-01,322.6
1988-09-01,340.9
1988-10-01,334.2
1988-11-01,326.8
1988-12-01,327.1
1989-01-01,337.8
1989-02-01,356.8
1989-03-01,379.5
1989-04-01,339.8
1989-05-01,326.2
1989-06-01,330.9
1989-07-01,334.9
1989-08-01,310.7
1989-09-01,330.0
1989-10-01,352.5
1989-11-01,355.0
1989-12-01,325.7
1990-01-01,335.4
1990-02-01,365.0
1990-03-01,355.2
1990-04-01,376.4
1990-05-01,374.8
1990-06-01,370.7
1990-07-01,377.3
1990-08-01,351.3
1990-09-01,353.4
1990-10-01,341.6
1990-11-01,346.4
1990-12-01,385.8
1991-01-01,408.2
1991-02-01,390.4
1991-03-01,351.6
1991-04-01,382.2
1991-05-01,374.8
1991-06-01,397.8
1991-07-01,370.3
1991-08-01,388.1
1991-09-01,400.7
1991-10-01,423.8
1991-11-01,413.6
1991-12-01,450.0
1992-01-01,441.8
1992-02-01,460.2
1992-03-01,459.4
1992-04-01,470.6
1992-05-01,473.3
1992-06-01,484.1
1992-07-01,462.8
1992-08-01,471.0
1992-09-01,422.5
1992-10-01,384.3
1992-11-01,385.6
1992-12-01,530.7
1993-01-01,425.6
1993-02-01,441.5
1993-03-01,439.0
1993-04-01,436.4
1993-05-01,415.8
1993-06-01,390.9
1993-07-01,382.7
1993-08-01,386.5
1993-09-01,347.5
1993-10-01,315.9
1993-11-01,317.6
1993-12-01,472.7
1994-01-01,362.4
1994-02-01,335.9
1994-03-01,352.8
1994-04-01,332.0
1994-05-01,399.4
1994-06-01,362.9
1994-07-01,369.0
1994-08-01,343.7
1994-09-01,358.9
1994-10-01,380.0
1994-11-01,376.3
1994-12-01,387.2
1995-01-01,405.7
1995-02-01,424.5
1995-03-01,412.0
1995-04-01,376.1
1995-05-01,393.9
1995-06-01,369.5
1995-07-01,393.7
1995-08-01,373.0
1995-09-01,378.1
1995-10-01,399.9
1995-11-01,371.6
1995-12-01,346.6
1996-01-01,380.0
1996-02-01,384.9
1996-03-01,379.5
1996-04-01,324.6
1996-05-01,390.6
1996-06-01,418.2
1996-07-01,390.7
1996-08-01,386.4
1996-09-01,393.9
1996-10-01,377.6
1996-11-01,380.7
1996-12-01,380.0
1997-01-01,370.9
1997-02-01,376.6
1997-03-01,389.9
1997-04-01,392.3
1997-05-01,413.3
1997-06-01,405.1
1997-07-01,375.3
1997-08-01,372.5
1997-09-01,387.3
1997-10-01,387.5
1997-11-01,404.1
1997-12-01,408.4
1998-01-01,471.3
1998-02-01,474.8
1998-03-01,484.6
1998-04-01,468.6
1998-05-01,451.6
1998-06-01,448.0
1998-07-01,455.4
1998-08-01,450.7
1998-09-01,425.4
1998-10-01,413.4
1998-11-01,424.7
1998-12-01,389.8
1999-01-01,435.4
1999-02-01,428.8
1999-03-01,404.9
1999-04-01,343.8
1999-05-01,326.2
1999-06-01,322.5
1999-07-01,328.0
1999-08-01,325.1
1999-09-01,286.1
1999-10-01,308.6
1999-11-01,321.3
1999-12-01,297.5
2000-01-01,358.9
2000-02-01,324.3
2000-03-01,311.8
2000-04-01,347.8
2000-05-01,351.1
2000-06-01,355.3
2000-07-01,383.8
2000-08-01,389.9
2000-09-01,340.8
2000-10-01,360.3
2000-11-01,355.3
2000-12-01,337.9
2001-01-01,379.4
2001-02-01,385.8
2001-03-01,411.8
2001-04-01,394.2
2001-05-01,347.4
2001-06-01,343.5
2001-07-01,439.9
2001-08-01,529.7
2001-09-01,551.5
2001-10-01,237.9
2001-11-01,274.8
2001-12-01,298.0
2002-01-01,451.1
2002-02-01,437.5
2002-03-01,448.6
2002-04-01,440.7
2002-05-01,504.4
2002-06-01,507.4
2002-07-01,441.7
2002-08-01,435.9
2002-09-01,482.0
2002-10-01,474.3
2002-11-01,476.6
2002-12-01,449.6
2003-01-01,442.9
2003-02-01,439.1
2003-03-01,415.9
2003-04-01,426.5
2003-05-01,465.7
2003-06-01,449.2
2003-07-01,521.3
2003-08-01,513.3
2003-09-01,439.1
2003-10-01,453.3
2003-11-01,459.3
2003-12-01,454.4
2004-01-01,425.4
2004-02-01,426.3
2004-03-01,418.7
2004-04-01,452.4
2004-05-01,454.8
2004-06-01,504.3
2004-07-01,453.2
2004-08-01,450.6
2004-09-01,402.3
2004-10-01,387.9
2004-11-01,345.5
2004-12-01,623.8
2005-01-01,296.2
2005-02-01,263.6
2005-03-01,285.7
2005-04-01,252.0
2005-05-01,302.0
2005-06-01,242.9
2005-07-01,193.4
2005-08-01,248.7
2005-09-01,252.2
2005-10-01,274.5
2005-11-01,304.5
2005-12-01,300.1
2006-01-01,363.2
2006-02-01,388.5
2006-03-01,408.1
2006-04-01,382.1
2006-05-01,362.4
2006-06-01,372.3
2006-07-01,315.8
2006-08-01,336.7
2006-09-01,327.3
2006-10-01,327.7
2006-11-01,364.1
2006-12-01,355.6
2007-01-01,332.9
2007-02-01,372.9
2007-03-01,402.2
2007-04-01,397.2
2007-05-01,381.6
2007-06-01,370.1
2007-07-01,356.7
2007-08-01,322.6
2007-09-01,333.6
2007-10-01,323.6
2007-11-01,296.5
2007-12-01,342.1
2008-01-01,348.5
2008-02-01,385.0
2008-03-01,367.3
2008-04-01,312.0
2008-05-01,826.4
2008-06-01,564.2
2008-07-01,445.0
2008-08-01,381.3
2008-09-01,472.7
2008-10-01,576.0
2008-11-01,693.2
2008-12-01,668.7
2009-01-01,676.6
2009-02-01,605.9
2009-03-01,639.4
2009-04-01,718.7
2009-05-01,868.3
2009-06-01,672.5
2009-07-01,593.9
2009-08-01,485.5
2009-09-01,607.4
2009-10-01,566.9
2009-11-01,619.7
2009-12-01,621.2
2010-01-01,653.0
2010-02-01,625.6
2010-03-01,624.2
2010-04-01,702.0
2010-05-01,762.1
2010-06-01,742.0
2010-07-01,731.3
2010-08-01,748.0
2010-09-01,742.1
2010-10-01,718.1
2010-11-01,703.7
2010-12-01,759.6
2011-01-01,807.3
2011-02-01,846.5
2011-03-01,780.5
2011-04-01,773.5
2011-05-01,772.8
2011-06-01,795.7
2011-07-01,819.5
2011-08-01,819.2
2011-09-01,782.7
2011-10-01,774.3
2011-11-01,792.9
2011-12-01,907.2
2012-01-01,953.0
2012-02-01,959.1
2012-03-01,1014.5
2012-04-01,1062.5
2012-05-01,1066.9
2012-06-01,1074.9
2012-07-01,967.8
2012-08-01,935.0
2012-09-01,1009.3
2012-10-01,1096.1
2012-11-01,1214.4
2012-12-01,1523.4
2013-01-01,725.4
2013-02-01,698.3
2013-03-01,729.1
2013-04-01,765.3
2013-05-01,800.4
2013-06-01,811.7
2013-07-01,786.5
2013-08-01,802.3
2013-09-01,819.0
2013-10-01,752.2
2013-11-01,738.2
2013-12-01,763.4
2014-01-01,856.8
2014-02-01,855.6
2014-03-01,868.9
2014-04-01,901.5
2014-05-01,930.0
2014-06-01,940.0
2014-07-01,953.6
2014-08-01,931.6
2014-09-01,967.0
2014-10-01,946.7
2014-11-01,980.4
2014-12-01,1038.9
2015-01-01,1078.7
2015-02-01,1103.4
2015-03-01,1042.5
2015-04-01,1039.3
2015-05-01,1026.0
2015-06-01,1017.7
2015-07-01,1002.3
2015-08-01,1002.7
2015-09-01,1024.8
2015-10-01,1042.7
2015-11-01,1010.7
2015-12-01,1027.6
2016-01-01,1070.4
2016-02-01,1005.9
2016-03-01,1062.2
2016-04-01,1005.1
2016-05-01,976.1
2016-06-01,927.7
2016-07-01,958.1
2016-08-01,962.8
2016-09-01,962.8
2016-10-01,987.9
2016-11-01,996.5
2016-12-01,938.5
2017-01-01,1000.4
2017-02-01,1046.9
2017-03-01,1048.5
2017-04-01,1060.2
2017-05-01,1147.6
2017-06-01,1108.0
2017-07-01,1127.1
2017-08-01,1134.1
2017-09-01,1091.8
2017-10-01,1113.0
2017-11-01,1049.9
2017-12-01,989.3
2018-01-01,1127.7
2018-02-01,1162.4
2018-03-01,1170.0
2018-04-01,1152.3
2018-05-01,1160.9
2018-06-01,1181.7
2018-07-01,1192.8
2018-08-01,1192.5
2018-09-01,1195.7
2018-10-01,1169.4
2018-11-01,1135.5
2018-12-01,1450.5
2019-01-01,1386.6
2019-02-01,1419.1
2019-03-01,1324.4
2019-04-01,1233.3
2019-05-01,1190.7
2019-06-01,1159.0
2019-07-01,1138.0
2019-08-01,1179.0
2019-09-01,1198.1
2019-10-01,1203.6
2019-11-01,1227.8
2019-12-01,1193.8
2020-01-01,1293.8
2020-02-01,1392.4
2020-03-01,2147.9
2020-04-01,6392.5
2020-05-01,4478.1
2020-06-01,3445.3
2020-07-01,3359.4
2020-08-01,2598.4
2020-09-01,2506.2
2020-10-01,2370.9
2020-11-01,2239.3
2020-12-01,2426.2
2021-01-01,3798.6
2021-02-01,2376.9
2021-03-01,5763.5
2021-04-01,2331.1
2021-05-01,1872.8
2021-06-01,1713.2
2021-07-01,1920.5
2021-08-01,1795.2
2021-09-01,1463.7
2021-10-01,1362.4
2021-11-01,1384.4
2021-12-01,1593.2
2022-01-01,1085.3
2022-02-01,1075.7
2022-03-01,922.3
2022-04-01,815.3
